price,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,VIN,drive,type,paint_color,vehicle_age,estimate_msrp,predicted_price,gap_ratio,price_class
37990,chevrolet,corvettegrandsport,good,8 cylinders,other,56302.0,clean,other,1G1YS3DW5A5103103,rwd,other,red,11.0,56150.0,37990.0,0.0,1
6495,ford,fusion,excellent,6 cylinders,gas,138917.0,clean,automatic,3FAHP0CG9AR340536,4wd,sedan,silver,11.0,27600.0,6942.73,-0.06448904105445546,1
34590,chevrolet,silverado1500double,good,6 cylinders,gas,29499.0,clean,other,1GCVKREH6GZ228691,4wd,pickup,silver,5.0,38000.0,34026.36,0.016564804463363093,1
31995,ford,f250sd,excellent,8 cylinders,gas,91200.0,clean,automatic,1FT7W2B67EEA75475,4wd,truck,black,7.0,50600.0,32802.43,-0.024614944685500444,1
25990,dodge,grandcaravanpassengerse,good,6 cylinders,gas,28.0,clean,other,2C4RDGBG7KR782806,fwd,van,black,2.0,29500.0,26027.03,-0.0014227516547219885,1
37995,chevrolet,silverado1500,excellent,8 cylinders,gas,93481.0,clean,automatic,3GCUKREC1HG277900,4wd,pickup,silver,4.0,38500.0,35634.63,0.06623809479711176,1
31395,chevrolet,silverado1500lt4x4,excellent,8 cylinders,gas,115781.0,clean,automatic,1GCVKREC4GZ239810,4wd,truck,brown,5.0,41000.0,31475.86,-0.0025689528419557267,1
20990,chrysler,300limitedsedan4d,good,6 cylinders,gas,32293.0,clean,other,2C3CCAAG6HH541670,rwd,sedan,black,4.0,33995.0,21773.11,-0.03596684166846172,1
19995,volkswagen,golfgti,excellent,4 cylinders,gas,54701.0,clean,automatic,3VW447AU4HM047473,fwd,hatchback,black,4.0,26000.0,19124.24,0.04553174400655913,1
17995,ford,explorerlimited,excellent,6 cylinders,gas,86189.0,clean,automatic,1FM5K7F89EGC24285,fwd,SUV,grey,7.0,42000.0,17532.21,0.026396558106479496,1
25990,dodge,chargersxtsedan4d,good,6 cylinders,gas,31154.0,clean,other,2C3CDXBG6KH672622,rwd,sedan,red,2.0,30695.0,25826.09,0.006346682753757919,1
18200,mercedes-benz,cla,excellent,4 cylinders,gas,100000.0,clean,automatic,WDDSJ4GB0EN160822,4wd,sedan,red,7.0,36800.0,16241.1,0.12061375153160805,2
12999,cadillac,ats,excellent,4 cylinders,gas,101196.0,clean,automatic,1G6AA5RA7D0173274,rwd,sedan,black,8.0,33995.0,13355.31,-0.026679275883524943,1
18895,ford,flex,good,6 cylinders,gas,86208.0,clean,other,2FMHK6C81FBA21170,4wd,SUV,silver,6.0,33500.0,19095.05,-0.0104765371130214,1
45300,ram,3500bighorn,excellent,6 cylinders,diesel,34125.0,rebuilt,automatic,3C63R3LL4JG236634,4wd,truck,black,3.0,57700.0,45352.9,-0.0011664083222903377,1
10000,chevrolet,cruzelimited,excellent,4 cylinders,gas,99728.0,clean,automatic,1G1PE5SB1G7111243,fwd,sedan,white,5.0,19000.0,9968.65,0.003144859133383193,1
6950,volkswagen,tiguan,excellent,4 cylinders,gas,125495.0,clean,automatic,WVGBV7AX7AW537599,4wd,SUV,grey,11.0,29000.0,7762.88,-0.1047137144977122,0
37590,chevrolet,corvettegrandsport,good,8 cylinders,gas,42017.0,clean,other,1G1YW2DW4B5109555,rwd,coupe,red,10.0,59400.0,37604.0,-0.00037230081906180194,1
10500,ford,f250,good,8 cylinders,diesel,190000.0,clean,manual,1FTSX21RX8EC31905,4wd,truck,black,13.0,47000.0,14903.39,-0.29546230756894903,0
44990,chevrolet,corvettestingray,good,8 cylinders,gas,22973.0,clean,other,1G1YF2D7XE5108892,rwd,coupe,black,7.0,70300.0,45126.0,-0.003013783628063644,1
10500,honda,crvlx,excellent,4 cylinders,gas,119000.0,clean,automatic,5J6RM4H38CL053821,4wd,SUV,red,9.0,25000.0,10059.17,0.043823695195528055,1
18900,jeep,grandcherokee,excellent,6 cylinders,gas,68003.0,clean,automatic,1C4RJFAG4EC458360,4wd,SUV,black,7.0,38500.0,19321.59,-0.021819632856302205,1
13995,pontiac,solstice,like new,4 cylinders,gas,31444.0,clean,manual,1G2MG35X68Y101517,rwd,convertible,orange,13.0,30300.0,14446.88,-0.031278725925597724,1
13997,lexus,es350,excellent,6 cylinders,gas,71934.0,clean,automatic,JTHBJ46G772129139,fwd,sedan,silver,14.0,36100.0,12930.93,0.08244341280944215,1
46995,gmc,sierra2500hd,good,8 cylinders,diesel,189470.0,clean,automatic,1GT12UEY7HF123923,4wd,truck,custom,4.0,69400.0,46176.9,0.017716650533058705,1
23500,ford,expedition,excellent,8 cylinders,gas,131000.0,clean,automatic,1FMJU2AT3FEF21296,4wd,SUV,black,6.0,65700.0,24250.22,-0.03093662655431584,1
8000,kia,sorento,excellent,6 cylinders,gas,133645.0,clean,automatic,5XYKWDA25CG234941,4wd,SUV,white,9.0,33000.0,8798.03,-0.0907055329431703,1
16995,ford,explorer,excellent,6 cylinders,gas,95000.0,clean,automatic,1FM5K7D89EGB89508,4wd,SUV,grey,7.0,32750.0,16476.31,0.03148095659768472,1
11900,toyota,highlander,good,6 cylinders,gas,114673.0,clean,automatic,JTEDS43A682032258,rwd,SUV,blue,13.0,30000.0,11284.77,0.05451861225350623,1
7975,ford,focus,excellent,4 cylinders,gas,97715.0,clean,automatic,1FADP3K28GL374903,fwd,hatchback,white,5.0,19900.0,8248.51,-0.033158715937787575,1
13999,bmw,x6,excellent,6 cylinders,gas,162990.0,clean,automatic,5UXFG43539L223678,4wd,SUV,blue,12.0,55000.0,11774.69,0.1889060348934876,2
7999,subaru,outback25i,excellent,4 cylinders,gas,163118.0,clean,automatic,4S4BRBJC8B3354437,4wd,wagon,blue,10.0,30300.0,8163.49,-0.020149470385827605,1
25990,gmc,acadiaslt2sportutility,good,6 cylinders,gas,70640.0,clean,other,1GKKNNLS8KZ159484,fwd,SUV,white,2.0,38500.0,25990.0,0.0,1
39990,lexus,is350fsportsedan4d,good,6 cylinders,gas,8820.0,clean,other,JTHGZ1B26L5035835,rwd,sedan,white,1.0,41300.0,39599.7,0.009856135273752148,1
38590,mercedes-benz,cclassc63amg,good,8 cylinders,gas,39558.0,clean,automatic,WDDGJ7HB1EG206426,rwd,coupe,black,7.0,63450.0,38359.12,0.006018907628746368,1
19500,gmc,acadia,excellent,6 cylinders,gas,83000.0,clean,automatic,1GKKVRKD5FJ316208,4wd,SUV,silver,6.0,39500.0,20191.46,-0.03424517097822541,1
5995,chrysler,200limitednavigation,excellent,6 cylinders,gas,129610.0,clean,automatic,1C3BC2FG1BN518290,fwd,sedan,black,10.0,29995.0,6828.07,-0.12200665781106516,0
18500,subaru,imprezawrx,excellent,4 cylinders,gas,88950.0,clean,other,JF1GV7E67CG003050,4wd,sedan,white,9.0,28995.0,18005.5,0.02746383049623726,1
34990,jeep,grandcherokeetrailhawk,good,6 cylinders,gas,37509.0,clean,other,1C4RJFLG1JC138453,4wd,other,black,3.0,44800.0,34990.0,0.0,1
28995,mercedes-benz,glclass,excellent,8 cylinders,gas,118492.0,clean,automatic,4JGDF7DE3FA464817,4wd,SUV,white,6.0,82000.0,29363.44,-0.012547576169549574,1
8490,honda,crvlx4wdat,excellent,4 cylinders,gas,141366.0,clean,automatic,JHLRE48398C076019,4wd,SUV,blue,13.0,25000.0,8156.17,0.04092975011555668,1
13500,ford,superdutyf350srw,good,8 cylinders,gas,34000.0,clean,automatic,1FTWF31568EE48875,4wd,pickup,red,13.0,38600.0,17739.58,-0.2389898746193541,0
17300,dodge,grandcaravangt,like new,6 cylinders,gas,44100.0,clean,automatic,2C4RDGEG7KR687836,fwd,mini-van,white,2.0,30795.0,19310.26,-0.10410320731051775,0
49900,chevrolet,silverado2500hd,excellent,8 cylinders,diesel,64777.0,clean,automatic,1GC1KVEY8HF138842,fwd,truck,white,4.0,60000.0,49446.89,0.009163569235598044,1
13980,dodge,journeysxt,excellent,6 cylinders,gas,68475.0,clean,automatic,3C4PDCBG6GT153400,fwd,SUV,black,5.0,25395.0,14354.63,-0.026098199674948027,1
6499,toyota,sienna,excellent,6 cylinders,gas,153000.0,clean,automatic,5TDZA22C96S544171,fwd,van,silver,15.0,36000.0,7617.27,-0.14680718945238916,0
29900,chevrolet,suburbanls,good,8 cylinders,other,129481.0,clean,other,1GNSCHKC6FR201256,rwd,other,black,6.0,48495.0,30941.57,-0.03366248060457177,1
5995,honda,accordsdn,good,6 cylinders,gas,143342.0,clean,automatic,1HGCM66554A032628,fwd,sedan,white,17.0,24900.0,5754.65,0.04176622383637587,1
38900,chevrolet,silverado2500hd,excellent,8 cylinders,diesel,132000.0,clean,automatic,1GC1KYC84CF110727,4wd,truck,silver,9.0,62000.0,39027.53,-0.0032676933436473904,1
15800,ford,superdutyf350srw,good,8 cylinders,diesel,77000.0,clean,automatic,1FTWF31R18ED05979,4wd,pickup,grey,13.0,40800.0,18065.28,-0.12539412619123527,0
8000,lexus,es330,excellent,6 cylinders,gas,114809.0,clean,automatic,JTHBA30G055082924,fwd,sedan,blue,16.0,35000.0,7764.65,0.03031044541608448,1
33675,rover,sport,good,6 cylinders,gas,72617.0,clean,automatic,SALWR2WF8EA395787,4wd,SUV,grey,7.0,65900.0,32242.99,0.04441306466925054,1
1300,volkswagen,touareg,fair,8 cylinders,gas,159577.0,clean,automatic,WVGCM77LX4D084185,4wd,SUV,black,17.0,49000.0,2528.76,-0.4859140448282953,0
9488,hyundai,sonatase,excellent,4 cylinders,gas,97000.0,clean,automatic,5NPE24AF1GH395250,fwd,sedan,white,5.0,22000.0,10026.54,-0.05371144981219851,1
23990,dodge,grandcaravanpassengerse,good,6 cylinders,gas,13337.0,clean,other,2C4RDGBG8KR805770,fwd,van,silver,2.0,29295.0,24842.0,-0.034296755494726675,1
9996,toyota,corolla,good,4 cylinders,gas,83160.0,clean,automatic,2T1BURHE6EC174637,fwd,sedan,silver,7.0,18000.0,9665.5,0.0341937820081734,1
12938,honda,accordcpeex,good,4 cylinders,gas,112592.0,clean,automatic,1HGCT1B78DA014363,fwd,coupe,blue,8.0,22995.0,12228.43,0.058026255210194576,1
6995,dodge,dart,good,4 cylinders,gas,78300.0,clean,automatic,1C3CDFBA1DD176293,fwd,sedan,blue,8.0,18895.0,7206.73,-0.029379482789004107,1
